sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_vmag,sy_kmag,sy_gaiamag
1.0,1.0,5.981388995417994,1.691939133945844,2.2857943325964074,3.9908341858524357,0.32816,1022.04,5158.4,1.152,0.4,0.0516,4.497999999999999,273.003083,-25.7116111,14.07874000000001,11.481399999999999,8.198146
1.0,2.0,4.801808129558699,1.3270750014599193,2.4224333881709645,8.086166036269084,0.3581599999999999,667.24,5300.0,1.33,0.92,0.0416,4.378,266.406,-24.4472778,15.394320000000016,11.0776,9.770026
1.0,1.0,5.219947836971748,1.1410330045520618,2.2857943325964074,5.4234430235053335,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.46,0.0196,4.496,269.0042917,-32.7134722,15.810940000000013,13.084800000000001,10.963476
1.0,2.0,8.502789961105494,1.7047480922384253,2.3544583110849886,4.465908118654584,0.15,609.8399999999999,5158.4,1.1400000000000001,0.51,0.0516,4.5120000000000005,268.143792,-30.0877778,15.634320000000017,14.218,10.366859999999999
1.0,2.0,5.083303550006301,1.4562867329399256,2.4224333881709645,6.994988784632702,0.3581599999999999,667.24,5300.0,1.33,0.92,0.0416,4.378,266.406,-24.4472778,15.394320000000016,12.487400000000001,9.770026
1.0,1.0,5.328759159210842,1.0260415958332743,2.2857943325964074,5.832106499109575,0.13999999999999999,913.04,5351.0,1.1400000000000001,0.37,-0.12378,4.496,268.0085,-32.26975,16.911520000000014,13.945600000000002,10.963476
1.0,2.0,6.618512693812809,0.9932517730102833,2.2857943325964074,4.439115601658009,0.14,832.8399999999999,5166.0,1.1400000000000001,0.4,-0.12378,4.496,268.75238,-31.4690552,16.911520000000014,13.945600000000002,10.366859999999999
1.0,2.0,3.6086323697349885,0.5877866649021191,2.2857943325964074,6.792344427470809,0.22399999999999998,870.24,5308.4,1.1400000000000001,0.18,0.0516,4.436,269.014,-29.0828889,15.634320000000017,12.535799999999998,10.366859999999999
1.0,1.0,4.465218391283083,0.6729444732424258,2.2857943325964074,8.706116198940812,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.21,0.0516,4.436,270.0632917,-28.9652806,14.07874000000001,11.481399999999999,10.366859999999999
1.0,1.0,6.687787639525119,1.9095425048844386,2.2857943325964074,2.8094026953624973,0.13999999999999999,870.24,5166.0,1.1400000000000001,0.5,-0.12378,4.496,268.668625,-31.0319167,16.911520000000017,14.218,10.366859999999999
1.0,1.0,5.328759159210842,0.8586616190375187,2.2857943325964074,5.734290825933334,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.11,0.0196,4.436,268.962375,-31.817,16.911520000000017,12.618800000000002,10.366859999999999
1.0,1.0,6.687787639525121,1.0647107369924282,2.2857943325964074,2.797281334830153,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.53,0.0196,4.496,269.5835833,-32.2953056,16.911520000000017,14.218,10.366859999999999
1.0,1.0,4.465218391283083,0.7275486072772778,2.2857943325964074,8.92305769032474,0.22399999999999998,870.24,5308.4,1.1400000000000001,0.29,0.0516,4.436,268.9663333,-28.5133611,14.07874000000001,11.481399999999999,10.863846
1.0,1.0,3.7370528173464868,1.128171090909654,2.2857943325964074,7.536997124566503,0.22400000000000003,667.24,5308.4,1.1400000000000001,0.63,-0.008400000000000001,4.436,267.9154167,-29.4979694,16.911520000000017,12.5358,10.863846
1.0,1.0,3.7370528173464868,0.3293037471426004,2.2857943325964074,8.013343181386672,0.184,870.24,5448.2,1.1400000000000001,0.29,0.0516,4.436,268.88325,-29.2538333,17.13790000000002,14.218,10.863846
1.0,1.0,5.429973009590574,1.2864740258376797,2.2857943325964074,2.9391619220655967,0.22399999999999998,667.24,5263.2,1.1400000000000001,0.55,0.0516,4.5120000000000005,268.1587917,-28.5519167,16.911520000000017,14.218,10.863846
1.0,1.0,5.103552397081773,1.0473189942805592,2.2857943325964074,5.659640983643139,0.22400000000000003,870.24,5166.0,1.1400000000000001,0.2,0.0516,4.436,269.3092083,-29.1019694,15.40794000000001,12.5358,10.366859999999999
1.0,1.0,6.687787639525121,1.3862943611198906,2.2857943325964074,2.8507065015037334,0.14,667.24,5166.0,1.1400000000000001,0.63,-0.12378,4.496,267.6298333,-31.9240556,16.911520000000017,14.218,10.293896
1.0,1.0,5.981388995417994,1.2612978709452054,2.2857943325964074,7.097340350799158,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.46,0.0516,4.435999999999999,271.6499583,-28.3288306,14.07874000000001,11.481399999999999,10.366859999999999
1.0,1.0,5.479858717253334,0.9707789171582247,2.4224333881709645,8.80618388974355,0.30219999999999997,950.4399999999999,5166.0,1.1400000000000001,0.32,-0.04778,4.508000000000001,262.840125,-29.5906889,14.589940000000013,11.973400000000002,9.201001999999999
2.0,1.0,4.801808129558699,1.547562508716013,2.4224333881709645,7.234705070693933,0.3581599999999999,667.24,5300.0,1.33,0.71,0.0416,4.378,267.186875,-23.7415194,13.890740000000013,11.35,9.770026
