sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing
1.0,2.0,7,4.90084684143069,0.406797553341943,1.8127314948450242,0.647,653.4,190,5418.4,2.492,0.94,0.030199999999999998,4.16,258.0966686,63.3527828,3.616160900885926,8.07,6.269,7.86569,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,7,5.081317404681786,0.40011750178156913,2.4179167671467057,0.305,1068.3920000000003,129,4997.8,0.8320000000000001,0.62,0.030599999999999995,3.9220000000000006,106.4257786,27.4704132,3.1713061156405637,10.14,6.781,9.57701,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,3,6.52172637929524,0.6259384308664953,2.4503304013914105,0.22399999999999998,1011.7119999999999,190,5544.0,1.284,0.1,0.06760000000000001,4.448,264.327,-27.8320611,8.85666093701725,16.8172,14.586911999999993,10.484964,1,1,0,1,1,1,0,1,1,0,0,0
1.0,1.0,3,6.52172637929524,1.3164082336557241,2.4503304013914105,0.22399999999999998,1011.7119999999999,190,5544.0,1.284,0.45,-0.054400000000000004,4.508000000000001,263.96425,-29.5858611,8.888894669371593,16.817199999999996,14.586911999999993,10.484964,1,1,0,1,1,1,0,1,1,0,0,0
1.0,1.0,7,7.07110636214399,1.1727916868423611,2.520999607347226,0.224,1328.4,190,5656.0,1.38,1.07,0.23,4.16,301.8318167,-35.5395236,4.0159108372192165,7.78,6.161,7.5942,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.50064129569225,0.028295869154847303,1.4906543764441333,0.428,494.0,175,3207.0,0.29,0.26,0.15,4.94,63.2739346,15.2477027,3.827695296904079,16.21,10.444,14.3817,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.6789930977929688,0.04974209189481407,2.0551488491107914,0.0,952.0,190,5205.0,0.87,0.9,0.223,4.51,259.0235918,63.1056072,5.134238397291363,11.806,9.87,11.6512,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,8,4.208595441225374,0.3040228320398332,1.6765356559665945,0.1181,612.712,190,4700.0,0.78,0.82,-0.2,4.57,288.5106679,51.1624235,6.743512511588036,15.885,13.415,15.5943,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.3993398968803612,0.03967253414372631,2.6930042428969387,0.4338,1373.8,190,5470.0,0.95,0.95,-0.20460000000000003,4.482,90.6436658,-0.5771099,5.898965412611059,13.242,11.269,12.9988,0,0,0,1,0,0,0,1,1,0,0,0
1.0,1.0,7,6.257667587882639,0.9162907318741551,1.300936195716447,0.29,612.712,190,4860.0,4.5,1.3,0.19,3.24,261.4395312,27.3030721,4.562914873090977,7.47,5.156,7.2068,1,0,0,0,0,0,0,0,0,0,0,0
